ranking,position,position_id,department,no,name,party,start,end,president
11,secretary of health and human services,hhs,department of health and human services of labor,23,Tom Price,republican,2017-02-10,2017-09-29,Donald Trump
11,secretary of health and human services,hhs,department of health and human services of labor,-,Don J. Wright,,2017-09-29,2017-10-10,Donald Trump
11,secretary of health and human services,hhs,department of health and human services of labor,-,Eric Hargan,republican,2017-10-10,2018-01-29,Donald Trump
11,secretary of health and human services,hhs,department of health and human services of labor,24,Alex Azar,republican,2018-01-29,incumbent,Donald Trump
12,secretary of housing and urban development,hud,department of housing and urban Development,1,Robert C. Weaver,democratic,1966-01-18,1968-12-18,Lyndon B. Johnson
12,secretary of housing and urban development,hud,department of housing and urban development,2,Robert C. Wood,democratic,1969-01-07,1969-01-20,Lyndon B. Johnson
12,secretary of housing and urban development,hud,department of housing and urban development,3,George W. Romney,republican,1969-01-22,1973-01-20,Richard Nixon
12,secretary of housing and urban development,hud,department of housing and urban development,4,James T. Lynn,republican,1973-02-02,1975-02-05,Richard Nixon - Gerald Ford
12,secretary of housing and urban development,hud,department of housing and urban development,5,Carla A. Hills,republican,1975-03-10,1977-01-20,Gerald Ford
12,secretary of housing and urban development,hud,department of housing and urban development,6,Patricia R. Harris,democratic,1977-01-23,1979-09-10,Jimmy Carter
12,secretary of housing and urban development,hud,department of housing and urban development,7,Maurice E. Landrieu,democratic,1979-09-24,1981-01-20,Jimmy Carter
12,secretary of housing and urban development,hud,department of housing and urban development,8,Samuel R. Pierce,republican,1981-01-23,1989-01-20,Ronald Reagan
12,secretary of housing and urban development,hud,department of housing and urban development,-,J. Michael Dorsey,republican,1989-01-20,1989-02-13,George H. W. Bush
12,secretary of housing and urban development,hud,department of housing and urban development,9,Jack F. Kemp,republican,1989-02-13,1993-01-20,George H. W. Bush
12,secretary of housing and urban development,hud,department of housing and urban development,10,Henry G. Cisneros,democratic,1993-01-22,1997-01-20,Bill Clinton
12,secretary of housing and urban development,hud,department of housing and urban development,11,Andrew M. Cuomo,democratic,1997-01-29,2001-01-20,Bill Clinton
12,secretary of housing and urban development,hud,department of housing and urban development,-,William C. Apgar,,2001-01-20,2001-01-24,George W. Bush
12,secretary of housing and urban development,hud,department of housing and urban development,12,Mel Martinez,republican,2001-01-24,2003-12-12,George W. Bush
12,secretary of housing and urban development,hud,department of housing and urban development,13,Alphonso Jackson,republican,2003-12-12,2008-04-18,George W. Bush
12,secretary of housing and urban development,hud,department of housing and urban development,-,Roy A. Bernardi,republican,2008-04-18,2008-06-04,George W. Bush
12,secretary of housing and urban development,hud,department of housing and urban development,14,Steve Preston,republican,2008-06-04,2009-01-20,George W. Bush
12,secretary of housing and urban development,hud,department of housing and urban development,-,Brian D. Montgomery,republican,2009-01-20,2009-01-26,Barack Obama
12,secretary of housing and urban development,hud,department of housing and urban development,15,Shaun Donovan,democratic,2009-01-26,2014-07-28,Barack Obama
12,secretary of housing and urban development,hud,department of housing and urban development,16,Julián Castro,democratic,2014-07-28,2017-01-20,Barack Obama
12,secretary of housing and urban development,hud,department of housing and urban development,-,Craig Clemmensen,republican,2017-01-20,2017-03-02,Donald Trump
12,secretary of housing and urban development,hud,department of housing and urban development,17,Ben Carson,republican,2017-03-02,incumbent,Donald Trump
13,secretary of transportation,transportation,department of transportation,1,Alan S. Boyd,democratic,1967-01-16,1969-01-22,Lyndon B. Johnson
13,secretary of transportation,transportation,department of transportation,2,John A. Volpe,republican,1969-01-22,1973-02-02,Richard M. Nixon
13,secretary of transportation,transportation,department of transportation,3,Claude S. Brinegar,republican,1973-02-02,1975-02-01,Richard M. Nixon / Gerald R. Ford
13,secretary of transportation,transportation,department of transportation,4,William T. Coleman, Jr.,republican,1975-03-07,1977-01-20,Gerald R. Ford
13,secretary of transportation,transportation,department of transportation,5,Brock Adams,democratic,1977-01-23,1979-07-20,Jimmy Carter
13,secretary of transportation,transportation,department of transportation,6,Neil E. Goldschmidt,democratic,1979-08-15,1981-01-20,Jimmy Carter
13,secretary of transportation,transportation,department of transportation,7,Drew Lewis,republican,1981-01-23,1983-02-01,Ronald Reagan
13,secretary of transportation,transportation,department of transportation,8,Elizabeth H. Dole,republican,1983-02-07,1987-09-30,Ronald Reagan
13,secretary of transportation,transportation,department of transportation,9,James H. Burnley IV,republican,1987-12-03,1989-01-20,Ronald Reagan
13,secretary of transportation,transportation,department of transportation,10,Samuel K. Skinner,republican,1989-02-06,1991-12-13,George H. W. Bush
13,secretary of transportation,transportation,department of transportation,11,Andrew H. Card,republican,1992-02-24,1993-01-20,George H. W. Bush
13,secretary of transportation,transportation,department of transportation,12,Federico Peña,democratic,1993-01-21,1997-02-14,Bill Clinton
13,secretary of transportation,transportation,department of transportation,13,Rodney E. Slater,democratic,1997-02-14,2001-01-20,Bill Clinton
13,secretary of transportation,transportation,department of transportation,14,Norman Y. Mineta,democratic,2001-01-25,2006-08-07,George W. Bush
13,secretary of transportation,transportation,department of transportation,15,Mary E. Peters,republican,2006-10-17,2009-01-20,George W. Bush
13,secretary of transportation,transportation,department of transportation,16,Ray H. LaHood,republican,2009-01-23,2013-07-02,Barack Obama
13,secretary of transportation,transportation,department of transportation,17,Anthony R. Foxx,democratic,2013-07-02,2017-01-20,Barack Obama
13,secretary of transportation,transportation,department of transportation,-,Michael Huerta,democratic,2017-01-20,2017-01-31,Donald Trump
13,secretary of transportation,transportation,department of transportation,18,Elaine Chao,republican,2017-01-31,incumbent,Donald Trump
14,secretary of energy,energy,department of energy,1,James Schlesinger,republican,1977-08-06,1979-08-23,Jimmy Carter
14,secretary of energy,energy,department of energy,2,Charles Duncan,democratic,1979-08-24,1981-01-20,Jimmy Carter
14,secretary of energy,energy,department of energy,3,James Edwards,republican,1981-01-23,1982-11-05,Ronald Reagan
14,secretary of energy,energy,department of energy,4,Donald Hodel,republican,1982-11-05,1985-02-07,Ronald Reagan
14,secretary of energy,energy,department of energy,5,John Herrington,republican,1985-02-07,1989-01-20,Ronald Reagan
14,secretary of energy,energy,department of energy,6,James Watkins,republican,1989-03-01,1993-01-20,George H. W. Bush
14,secretary of energy,energy,department of energy,7,Hazel O'Leary,democratic,1993-01-22,1997-01-20,Bill Clinton
14,secretary of energy,energy,department of energy,8,Federico Peña,democratic,1997-03-12,1998-06-30,Bill Clinton
14,secretary of energy,energy,department of energy,9,Bill Richardson,democratic,1998-08-18,2001-01-20,Bill Clinton
14,secretary of energy,energy,department of energy,10,Spencer Abraham,republican,2001-01-20,2005-02-01,George W. Bush
14,secretary of energy,energy,department of energy,11,Samuel Bodman,republican,2005-02-01,2009-01-20,George W. Bush
14,secretary of energy,energy,department of energy,12,Steven Chu,democratic,2009-01-20,2013-04-22,Barack Obama
14,secretary of energy,energy,department of energy,-,Daniel Poneman,democratic,2013-04-22,2013-05-21,Barack Obama
14,secretary of energy,energy,department of energy,13,Ernest Moniz,democratic,2013-05-21,2017-01-20,Barack Obama
14,secretary of energy,energy,department of energy,-,Grace Bochenek,,2017-01-20,2017-03-02,Donald Trump
14,secretary of energy,energy,department of energy,14,Rick Perry,republican,2017-03-02,2019-12-01,Donald Trump
14,secretary of energy,energy,department of energy,15,Dan Brouillette,republican,2019-12-01,incumbent,Donald Trump
15,secretary of education,education,department of education,1,Shirley Hufstedler,democratic,1979-11-30,1981-01-20,Jimmy Carter
15,secretary of education,education,department of education,2,Terrel Bell,republican,1981-01-22,1985-01-20,Ronald Reagan
15,secretary of education,education,department of education,3,William Bennett,republican,1985-02-06,1988-09-20,Ronald Reagan
15,secretary of education,education,department of education,4,Lauro Cavazos,democratic,1988-09-20,1990-12-12,Ronald Reagan - George H. W. Bush
15,secretary of education,education,department of education,-,Ted Sanders,,1990-12-12,1991-03-22,George H. W. Bush
15,secretary of education,education,department of education,5,Lamar Alexander,republican,1991-03-22,1993-01-20,George H. W. Bush
15,secretary of education,education,department of education,6,Richard Riley,democratic,1993-01-21,2001-01-20,Bill Clinton
15,secretary of education,education,department of education,7,Rod Paige,republican,2001-01-20,2005-01-20,George W. Bush
15,secretary of education,education,department of education,8,Margaret Spellings,republican,2005-01-20,2009-01-20,George W. Bush
15,secretary of education,education,department of education,9,Arne Duncan,democratic,2009-01-21,2016-01-01,Barack Obama
15,secretary of education,education,department of education,10,Phil Rosenfelt,democratic,2016-01-01,2017-01-20,Barack Obama
15,secretary of education,education,department of education,-,Phil Rosenfelt,independent,2017-01-20,2017-02-07,Donald Trump
15,secretary of education,education,department of education,11,Betsy DeVos,republican,2017-02-07,incumbent,Donald Trump
16,secretary of veterans affairs,va,department of veterans affairs,1,Ed Derwinski,republican,1989-03-15,1992-09-26,George H. W. Bush
16,secretary of veterans affairs,va,department of veterans affairs,-,Anthony Principi,republican,1992-09-26,1993-01-20,George H. W. Bush
16,secretary of veterans affairs,va,department of veterans affairs,2,Jesse Brown,democratic,1993-01-22,1997-07-01,Bill Clinton
16,secretary of veterans affairs,va,department of veterans affairs,-,Hershel W. Gober,democratic,1997-07-01,1998-01-02,Bill Clinton
16,secretary of veterans affairs,va,department of veterans affairs,3,Togo D. West Jr.,democratic,1998-01-02,2000-07-25,Bill Clinton
16,secretary of veterans affairs,va,department of veterans affairs,-,Hershel W. Gober,democratic,2000-07-25,2001-01-20,Bill Clinton
16,secretary of veterans affairs,va,department of veterans affairs,4,Anthony Principi,republican,2001-01-23,2005-01-26,George W. Bush
16,secretary of veterans affairs,va,department of veterans affairs,5,Jim Nicholson,republican,2005-01-26,2007-10-01,George W. Bush
16,secretary of veterans affairs,va,department of veterans affairs,-,Gordon H. Mansfield,republican,2007-10-01,2007-12-20,George W. Bush
16,secretary of veterans affairs,va,department of veterans affairs,6,James Peake,republican,2007-12-20,2009-01-20,George W. Bush
16,secretary of veterans affairs,va,department of veterans affairs,7,Eric Shinseki,independent,2009-01-20,2014-05-30,Barack Obama
16,secretary of veterans affairs,va,department of veterans affairs,-,Sloan D. Gibson,republican,2014-05-30,2014-07-30,Barack Obama
16,secretary of veterans affairs,va,department of veterans affairs,8,Bob McDonald,republican,2014-07-30,2017-01-20,Barack Obama
16,secretary of veterans affairs,va,department of veterans affairs,-,Robert Snyder,,2017-01-20,2017-12-14,Donald Trump
16,secretary of veterans affairs,va,department of veterans affairs,9,David Shulkin,independent,2017-12-14,2018-03-28,Donald Trump
16,secretary of veterans affairs,va,department of veterans affairs,-,Robert Wilkie,republican,2018-03-28,2018-05-29,Donald Trump
16,secretary of veterans affairs,va,department of veterans affairs,-,Peter O'Rourke,republican,2018-05-29,2018-07-30,Donald Trump
16,secretary of veterans affairs,va,department of veterans affairs,10,Robert Wilkie,republican,2018-07-30,incumbent,Donald Trump
17,secretary of homeland security,homeland,department of homeland security,1,Tom Ridge,republican,2003-01-24,2005-02-01,George W. Bush
17,secretary of homeland security,homeland,department of homeland security,-,James Loy,independent,2005-02-01,2005-02-15,George W. Bush
17,secretary of homeland security,homeland,department of homeland security,2,Michael Chertoff,republican,2005-02-15,2009-01-21,George W. Bush
17,secretary of homeland security,homeland,department of homeland security,3,Janet Napolitano,democratic,2009-01-21,2013-09-06,Barack Obama
17,secretary of homeland security,homeland,department of homeland security,-,Rand Beers,democratic,2013-09-06,2013-12-23,Barack Obama
17,secretary of homeland security,homeland,department of homeland security,4,Jeh Johnson,democratic,2013-12-23,2017-01-20,Barack Obama
17,secretary of homeland security,homeland,department of homeland security,5,John F. Kelly,independent,2017-01-20,2017-07-31,Donald Trump
17,secretary of homeland security,homeland,department of homeland security,-,Elaine Duke,independent,2017-07-31,2017-12-06,Donald Trump
17,secretary of homeland security,homeland,department of homeland security,6,Kirstjen Nielsen,republican,2017-12-06,2019-04-11,Donald Trump
17,secretary of homeland security,homeland,department of homeland security,-,Kevin McAleenan,independent,2019-04-11,2019-11-13,Donald Trump
17,secretary of homeland security,homeland,department of homeland security,-,Chad Wolf,republican,2019-11-13,incumbent,Donald Trump
